西暦,施設名,利用者数
2017,三之瀬御本陣芸術文化館,4213
2017,春蘭荘・松籟亭・煎茶室,575
2017,国民宿舎野呂高原ロッジ(宿泊),9785
2017,野呂山ビジターセンター,46174
2017,野呂山レストハウス,7337
2017,呉市川尻筆づくり資料館,4413
2017,おんど観光文化会館うずしお,70701
2017,くらはし桂浜温泉館,88809
2017,かまがり温泉やすらぎの館,39659
2017,コテージかまがり,1980
2017,かまがり天体観測館,8778
2017,かまがり海と島の工作館,2426
2017,かまがり古代製塩遺跡復元展示館,7023
2017,かまがり古代土器製塩体験施設,4938
2017,グリーンピアせとうち,57169
2017,御手洗休憩所,25792
2017,豊ふるさと学園,56
2017,御手洗地区文化施設,2657
2017,美術館,49468
2017,入船山記念館,28604
2017,海事歴史科学館（大和ミュージアム）,929743
2016,大空山青年の家,2303
2016,野外活動センター,4584
2016,野呂山セントラルロッジ,2425
2016,市営プール,40097
2016,温水プール,65593
2016,下蒲刈プール,1006
2016,川尻温水プール,34193
2016,川尻東プール,2332
2016,音戸プール,4063
2016,くらはし温水プール,53021
2016,豊プール,1993
2016,松寿苑,392
2016,蘭島閣美術館,10824
2016,松濤園,14250
2016,蘭島閣美術館別館,327
2016,昆虫の家,850
2016,白雪楼,3210
2016,貝と海藻の家,93
2016,三之瀬御本陣芸術文化館,4263
2016,春蘭荘・松籟亭・煎茶室,638
2016,国民宿舎野呂高原ロッジ(宿泊),10749
2016,野呂山ビジターセンター,50328
2016,野呂山レストハウス,7647
2016,呉市川尻筆づくり資料館,5453
2016,おんど観光文化会館うずしお,72305
2016,くらはし桂浜温泉館,88982
2016,かまがり温泉やすらぎの館,41305
2016,コテージかまがり,3055
2016,かまがり天体観測館,8098
2016,かまがり海と島の工作館,2237
2016,かまがり古代製塩遺跡復元展示館,8354
2016,かまがり古代土器製塩体験施設,5426
2016,グリーンピアせとうち,115273
2016,御手洗休憩所,24019
2016,豊ふるさと学園,36
2016,御手洗地区文化施設,4305
2016,美術館,52585
2016,入船山記念館,23056
2016,海事歴史科学館（大和ミュージアム）,955617
2015,大空山青年の家,2031
2015,野外活動センター,4952
2015,野呂山セントラルロッジ,2629
2015,市営プール,29667
2015,温水プール,68060
2015,下蒲刈プール,1004
2015,川尻温水プール,34961
2015,川尻東プール,2131
2015,音戸プール,3672
2015,くらはし温水プール,51776
2015,豊プール,2168
2015,松寿苑,104
2015,蘭島閣美術館,9996
2015,松濤園,16108
2015,蘭島閣美術館別館,317
2015,昆虫の家,1047
2015,白雪楼,3877
2015,貝と海藻の家,155
2015,三之瀬御本陣芸術文化館,4431
2015,春蘭荘・松籟亭・煎茶室,653
2015,国民宿舎野呂高原ロッジ(宿泊),10171
2015,野呂山ビジターセンター,51796
2015,野呂山レストハウス,8411
2015,呉市川尻筆づくり資料館,5413
2015,おんど観光文化会館うずしお,69979
2015,くらはし桂浜温泉館,92532
2015,かまがり温泉やすらぎの館,39879
2015,コテージかまがり,2880
2015,かまがり天体観測館,8016
2015,かまがり海と島の工作館,2124
2015,かまがり古代製塩遺跡復元展示館,8395
2015,かまがり古代土器製塩体験施設,5008
2015,グリーンピアせとうち,113780
2015,御手洗休憩所,21547
2015,豊ふるさと学園,275
2015,御手洗地区文化施設,3209
2015,美術館,50089
2015,入船山記念館,20661
2015,海事歴史科学館（大和ミュージアム）,1006336
