location_name,latitude,longitude,image_url
"六角ナットの鳥居","34.18385","132.83222","https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E4%B9%85%E6%AF%9415_%E7%AF%A0%E5%8E%9F%E5%85%AB%E5%B9%A1%E5%AE%AE%E9%B3%A5%E5%B1%85.png"
"10分間のミニクルーズ","34.18775","132.83208","https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E4%B9%85%E6%AF%9416_%E3%83%9F%E3%83%8B%E3%82%AF%E3%83%AB%E3%83%BC%E3%82%B9%E3%82%99.png"
"通学路途中の足長小学生","34.17874","132.86753","https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E5%BE%A1%E6%89%8B%E6%B4%9712_%E9%80%9A%E5%AD%A6%E9%80%94%E4%B8%AD%E3%81%AE.png"
"パステルカラーの洋館","34.17733","132.86776","https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E5%BE%A1%E6%89%8B%E6%B4%9713_%E3%83%8F%E3%82%9A%E3%82%B9%E3%83%86%E3%83%AB%E3%82%AB%E3%83%A9%E3%83%BC%E3%81%AE.png"
"海沿いの「三軒長屋の船宿」","34.17805","132.86814","https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E5%BE%A1%E6%89%8B%E6%B4%9714_%E4%B8%89%E8%BB%92%E9%95%B7%E5%B1%8B%E3%81%AE%E8%88%B9%E5%AE%BF.png"
"レトロな郵便ポスト","34.17816","132.86816","https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E5%BE%A1%E6%89%8B%E6%B4%9715_%E9%83%B5%E4%BE%BF%E3%83%9B%E3%82%9A%E3%82%B9%E3%83%88.png"
"昇り龍の「うだつ」","34.17877","132.86803","https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E5%BE%A1%E6%89%8B%E6%B4%9716_%E3%81%86%E3%81%9F%E3%82%99%E3%81%A4.png"
"歴史の見える丘公園からの景観","34.17709","132.86547","https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E5%BE%A1%E6%89%8B%E6%B4%9717_%E4%B8%98%E5%85%AC%E5%9C%92.png"
"神社へ渡る太鼓橋","34.17744","132.86837","https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E5%BE%A1%E6%89%8B%E6%B4%9718_%E5%A4%AA%E9%BC%93%E6%A9%8B.png"
"幸せのレリーフ","34.17675","132.8683","https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E5%BE%A1%E6%89%8B%E6%B4%9719_%E3%83%AC%E3%83%AA%E3%83%BC%E3%83%95.png"
"御手洗のシンボル「高燈篭」","34.17755","132.86835","https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E5%BE%A1%E6%89%8B%E6%B4%9720_%E9%AB%98%E7%87%88%E7%B1%A0.png"
"とらわれの竜","34.18289","132.85382","https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E5%A4%A7%E9%95%B72_%E3%81%A8%E3%82%89%E3%82%8F%E3%82%8C%E3%81%AE%E7%AB%9C.png"
"鬼瓦ならぬ蛸瓦","34.18338","132.85511","https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E5%A4%A7%E9%95%B73_%E8%9B%B8%E7%93%A6.png"
"航海安全を見守る東風崎神社","34.1848","132.85782","https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E5%A4%A7%E9%95%B74_%E6%9D%B1%E9%A2%A8%E5%B4%8E%E7%A5%9E%E7%A4%BE.png"
"壁に「目」あり","34.18201","132.85216","https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E5%A4%A7%E9%95%B75_%E5%A3%81%E3%81%AB%E7%9B%AE%E3%81%82%E3%82%8A.png"
"2階のドアは誰のため？？","34.18312","132.85539","https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E5%A4%A7%E9%95%B76_2%E9%9A%8E%E3%81%AE%E3%83%88%E3%82%99%E3%82%A2.png"
"幾何学的な壁","34.18412","132.85616","https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E5%A4%A7%E9%95%B77_%E5%B9%BE%E4%BD%95%E5%AD%A6%E7%9A%84%E3%81%AA%E5%A3%81.png"
"大長港のオレンジフォン","34.18485","132.8583","https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E5%A4%A7%E9%95%B78_%E3%82%AA%E3%83%AC%E3%83%B3%E3%82%B7%E3%82%99%E3%83%95%E3%82%A9%E3%83%B3.png"
"建物の目玉みたいな窓","34.18208","132.85266","https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E5%A4%A7%E9%95%B79_%E7%9B%AE%E7%8E%89%E3%81%BF%E3%81%9F%E3%81%84%E3%81%AA%E7%AA%93.png"
"あんなところになまこ壁","34.18225","132.8542","https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E5%A4%A7%E9%95%B710_%E3%81%AA%E3%81%BE%E3%81%93%E5%A3%81.png"
"小動物の瓦細工","34.18166","132.85394","https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E5%A4%A7%E9%95%B712_%E5%B0%8F%E5%8B%95%E7%89%A9%E3%81%AE%E7%93%A6%E7%B4%B0%E5%B7%A5.png"
"キスする石垣","34.18011","132.85416","https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E5%A4%A7%E9%95%B713_%E3%82%AD%E3%82%B9%E3%81%99%E3%82%8B%E7%9F%B3%E5%9E%A3.png"
"パワースポット「ホルトの木」","34.1815","132.8547","https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E5%A4%A7%E9%95%B715_%E3%83%9B%E3%83%AB%E3%83%88%E3%81%AE%E6%9C%A8.png"
"きりりとした洋館","34.18182","132.85722","https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E5%A4%A7%E9%95%B716_%E3%81%8D%E3%82%8A%E3%82%8A%E3%81%A8%E3%81%97%E3%81%9F%E6%B4%8B%E9%A4%A8.png"
"朝日の昇る窓","34.1797","132.85375","https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E5%A4%A7%E9%95%B717_%E6%9C%9D%E6%97%A5%E3%81%AE%E6%98%87%E3%82%8B%E7%AA%93.png"
"波のしゃちほこ","34.18065","132.85457","https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E5%A4%A7%E9%95%B718_%E6%B3%A2%E3%81%AE%E3%81%97%E3%82%83%E3%81%A1%E3%81%BB%E3%81%93.png"
"弁天社の赤い鳥居","34.17985","132.8652","https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E5%BE%A1%E6%89%8B%E6%B4%971_%E5%BC%81%E5%A4%A9%E7%A4%BE%E3%81%AE%E9%B3%A5%E5%B1%85.png"
"江戸情緒の路地裏散策","34.17957","132.86642","https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E5%BE%A1%E6%89%8B%E6%B4%972_%E6%B1%9F%E6%88%B8%E6%83%85%E7%B7%92.png"
